C_UC,noise,acc,bal_acc,f1
1.0,1.0,0.9776,0.7662,0.9763
1.0,2.0,0.9608,0.7612,0.9576
1.0,3.0,0.9785,0.7985,0.9779
1.0,4.0,0.9709,0.7975,0.97
1.0,5.0,0.9781,0.8068,0.9779
1.0,6.0,0.9751,0.8173,0.9749
0.0,1.0,0.9833,0.8404,0.9829
0.0,2.0,0.9831,0.8545,0.9828
0.0,3.0,0.9838,0.8557,0.9836
0.0,4.0,0.983,0.8632,0.9829
0.0,5.0,0.9821,0.8581,0.9818
0.0,6.0,0.981,0.8734,0.9809
