0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,128,5,2,WeightedEnsemble_L3,0.7462784768484251,0.7462784768484251,0.6253425346431126,0.6137513160322264
light,128,5,3,WeightedEnsemble_L3,0.6211037091866107,0.6211037091866107,0.5164946843928516,0.41724396249342316
light,128,5,4,WeightedEnsemble_L3,0.5722510074841681,0.5722510074841681,0.5284107794992471,0.34485644506110186
light,128,5,5,WeightedEnsemble_L3,0.6076157578748252,0.6076157578748252,0.5404595924683839,0.3958395091241358
