0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,1024,5,2,WeightedEnsemble_L3,0.9330537050744304,0.9330537050744304,0.8407119258134551,0.8992220959084212
light,1024,5,3,WeightedEnsemble_L3,0.9226087671683526,0.9226087671683526,0.8448669203863555,0.8839778955947047
light,1024,5,4,WeightedEnsemble_L3,0.894810428489185,0.894810428489185,0.8362486032419554,0.8409934745440707
light,1024,5,5,WeightedEnsemble_L3,0.8534418948926721,0.8534418948926721,0.7979102489262673,0.7798702119275406
