0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,256,5,2,WeightedEnsemble_L3,0.869068179949009,0.869068179949009,0.714612437870439,0.8018606071096257
light,256,5,3,WeightedEnsemble_L3,0.7758039312443459,0.7758039312443458,0.6556846005092076,0.659462078281572
light,256,5,4,WeightedEnsemble_L3,0.7040875071963155,0.7040875071963155,0.6378910946415275,0.5489593492239708
light,256,5,5,WeightedEnsemble_L3,0.6855004523398306,0.6855004523398306,0.6445344773754124,0.5227758343673445
