0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
plug,1024,4,2,WeightedEnsemble_L3,0.8571804486546937,0.8571804486546938,0.8520087739114228,0.8351714178719816
plug,1024,4,3,WeightedEnsemble_L3,0.8552726794289849,0.8552726794289849,0.850870011078606,0.8329703110167712
plug,1024,4,4,WeightedEnsemble_L3,0.8459640813104401,0.8459640813104401,0.8414080578563641,0.8222051617468511
plug,1024,5,2,WeightedEnsemble_L3,0.8571475560818367,0.8571475560818367,0.8527058354032286,0.8351437247083884
plug,1024,5,3,WeightedEnsemble_L3,0.8567528452075521,0.8567528452075521,0.8516252475545665,0.8346641091676258
plug,1024,5,4,WeightedEnsemble_L3,0.8505361489375699,0.8505361489375699,0.8466407959146538,0.8275007429301066
plug,1024,5,5,WeightedEnsemble_L3,0.83905664101046,0.8390566410104598,0.8347820290972459,0.8142412096234773
plug,1024,6,2,WeightedEnsemble_L3,0.8599434247746859,0.8599434247746859,0.8543145035149502,0.8383423998792828
plug,1024,6,3,WeightedEnsemble_L3,0.8389250707190317,0.8389250707190317,0.8322906070723857,0.8140550022302343
plug,1024,6,4,WeightedEnsemble_L3,0.8435958160647326,0.8435958160647326,0.8388667863903919,0.8194730866606111
plug,1024,6,5,WeightedEnsemble_L3,0.8389579632918885,0.8389579632918887,0.8340715756762351,0.8140947974119603
plug,1024,6,6,WeightedEnsemble_L3,0.8219196105519374,0.8219196105519374,0.8171880236489394,0.7943957476022288
