0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,128,4,2,WeightedEnsemble_L3,0.759190722921293,0.7591907229212929,0.650981542564648,0.6340390426613616
light,128,4,3,WeightedEnsemble_L3,0.6276009540258245,0.6276009540258245,0.552141103130581,0.42918693868635255
light,128,4,4,WeightedEnsemble_L3,0.6243934534089974,0.6243934534089974,0.5835920685207799,0.42313506105932397
light,128,5,2,WeightedEnsemble_L3,0.746031746031746,0.746031746031746,0.6217454565513596,0.6135130810995115
light,128,5,3,WeightedEnsemble_L3,0.6220083888477671,0.6220083888477671,0.5347009305285189,0.4181997842397172
light,128,5,4,WeightedEnsemble_L3,0.5724977383008472,0.5724977383008472,0.49310536463281507,0.3415785050006417
light,128,5,5,WeightedEnsemble_L3,0.6134550538695617,0.6134550538695617,0.5368311577312239,0.4050211577604507
light,128,6,2,WeightedEnsemble_L3,0.7512953367875648,0.7512953367875648,0.5984152061984431,0.6220728510699132
light,128,6,3,WeightedEnsemble_L3,0.6316308906982482,0.6316308906982482,0.5255206686415267,0.4352444887388097
light,128,6,4,WeightedEnsemble_L3,0.6280944156591824,0.6280944156591824,0.5252207456447336,0.43040353683442
light,128,6,5,WeightedEnsemble_L3,0.5990624228966198,0.5990624228966198,0.5697988829258902,0.3880474056708712
light,128,6,6,WeightedEnsemble_L3,0.6337692244427996,0.6337692244427996,0.5969444867230733,0.4382862902225196
light,256,4,2,WeightedEnsemble_L3,0.8693971543712476,0.8693971543712476,0.7430135477374777,0.8022234197749543
light,256,4,3,WeightedEnsemble_L3,0.7841105354058722,0.7841105354058722,0.6856229762494404,0.6722046695574116
light,256,4,4,WeightedEnsemble_L3,0.727280203964142,0.7272802039641418,0.6504422679621349,0.5858472256966759
light,256,5,2,WeightedEnsemble_L3,0.8734270910436713,0.8734270910436713,0.7607690351927323,0.8085753781993948
light,256,5,3,WeightedEnsemble_L3,0.7739123283164734,0.7739123283164734,0.6422347647001218,0.656256318993184
light,256,5,4,WeightedEnsemble_L3,0.6964388518792664,0.6964388518792664,0.6239474817705299,0.5362164346314036
light,256,5,5,WeightedEnsemble_L3,0.6846780162842339,0.6846780162842339,0.614477131359316,0.5209157938188737
light,256,6,2,WeightedEnsemble_L3,0.8587877292540504,0.8587877292540504,0.7175542279114022,0.7861970905187227
light,256,6,3,WeightedEnsemble_L3,0.7636318776215151,0.763631877621515,0.6633591528182783,0.6406337314808782
light,256,6,4,WeightedEnsemble_L3,0.7131343038078788,0.7131343038078789,0.6427836032296201,0.5653384085316386
light,256,6,5,WeightedEnsemble_L3,0.7122296241467226,0.7122296241467226,0.6333716193142729,0.5639378399807221
light,256,6,6,WeightedEnsemble_L3,0.6754667324615511,0.6754667324615511,0.6034764305270521,0.5043026540476708
light,512,4,2,WeightedEnsemble_L3,0.9216218439016366,0.9216218439016366,0.8229971563694704,0.8818301082985662
light,512,4,3,WeightedEnsemble_L3,0.8829673492885928,0.8829673492885928,0.7696492965391946,0.8237928933273231
light,512,4,4,WeightedEnsemble_L3,0.8390492639197302,0.8390492639197302,0.7357422699398677,0.7562919638515437
light,512,5,2,WeightedEnsemble_L3,0.9168517147791759,0.9168517147791759,0.8123484363206993,0.8743358762843411
light,512,5,3,WeightedEnsemble_L3,0.8528661896537544,0.8528661896537544,0.7653135976158305,0.7769876666755741
light,512,5,4,WeightedEnsemble_L3,0.8038490007401925,0.8038490007401925,0.7268263743995721,0.7029808566577832
light,512,5,5,WeightedEnsemble_L3,0.768319763138416,0.768319763138416,0.7085775580071402,0.649378686150074
light,512,6,2,WeightedEnsemble_L3,0.9189078049181676,0.9189078049181676,0.7803770024682899,0.8775317134657151
light,512,6,3,WeightedEnsemble_L3,0.8487540093757711,0.8487540093757711,0.7467639307666489,0.7707581843993041
light,512,6,4,WeightedEnsemble_L3,0.8100172711571674,0.8100172711571675,0.763333811790067,0.7127285893471101
light,512,6,5,WeightedEnsemble_L3,0.7911834854840036,0.7911834854840036,0.7325239255558439,0.6845905994634375
light,512,6,6,WeightedEnsemble_L3,0.7770375853277408,0.7770375853277408,0.7153398120978862,0.6641956826666123
light,1024,4,2,WeightedEnsemble_L3,0.9342051155522658,0.9342051155522658,0.842792773271345,0.901146974447411
light,1024,4,3,WeightedEnsemble_L3,0.9256517805740604,0.9256517805740604,0.8443880496373957,0.8883476582614013
light,1024,4,4,WeightedEnsemble_L3,0.9071469693231351,0.9071469693231351,0.8106349463397493,0.8599253367518278
light,1024,5,2,WeightedEnsemble_L3,0.9336294103133481,0.9336294103133481,0.8301546163060921,0.9000769541606473
light,1024,5,3,WeightedEnsemble_L3,0.9226910107739124,0.9226910107739124,0.8183652668184749,0.8840603183106401
light,1024,5,4,WeightedEnsemble_L3,0.8936590180113496,0.8936590180113496,0.8438850128321509,0.8394702438317067
light,1024,5,5,WeightedEnsemble_L3,0.8450530471255859,0.8450530471255859,0.7942109312343413,0.767406090212207
light,1024,6,2,WeightedEnsemble_L3,0.9344518463689448,0.9344518463689448,0.817700536253694,0.9010938117187579
light,1024,6,3,WeightedEnsemble_L3,0.9195657537626449,0.9195657537626449,0.8071236670102864,0.878979321956633
light,1024,6,4,WeightedEnsemble_L3,0.8996628012172054,0.8996628012172053,0.8196396078155489,0.8487282147626253
light,1024,6,5,WeightedEnsemble_L3,0.8678345258656139,0.8678345258656139,0.7833241262524293,0.8012766445596062
light,1024,6,6,WeightedEnsemble_L3,0.8451352907311457,0.8451352907311457,0.7419530588060448,0.766642080446819
