0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
cam,256,6,2,WeightedEnsemble_L3,0.33065579108967696,0.33065579108967696,0.3306087388132136,0.23502108260368262
cam,256,6,3,WeightedEnsemble_L3,0.32797307984555024,0.32797307984555024,0.32798938977345415,0.23207933945435408
cam,256,6,4,WeightedEnsemble_L3,0.32158419526416177,0.32158419526416177,0.3216693574830579,0.22469411345282395
cam,256,6,5,WeightedEnsemble_L3,0.3184052599748787,0.3184052599748787,0.31840792018910313,0.22106424381031245
cam,256,6,6,WeightedEnsemble_L3,0.29609068494425234,0.29609068494425234,0.29611122278373536,0.19553651667619645
