0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,512,6,2,WeightedEnsemble_L3,0.9201414590015626,0.9201414590015626,0.8261450370293457,0.8794351151609453
light,512,6,3,WeightedEnsemble_L3,0.8488362529813307,0.8488362529813307,0.7498579566064465,0.7711440128976607
light,512,6,4,WeightedEnsemble_L3,0.8083723990459741,0.8083723990459741,0.7335863914759112,0.7097930269141601
light,512,6,5,WeightedEnsemble_L3,0.796776050662061,0.796776050662061,0.7388818724724888,0.6933205736437026
light,512,6,6,WeightedEnsemble_L3,0.7768730981166213,0.7768730981166214,0.709016180970035,0.6638139136686014
