0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,512,5,2,WeightedEnsemble_L3,0.9178386380458919,0.9178386380458919,0.7979565072286665,0.8761849276091599
light,512,5,3,WeightedEnsemble_L3,0.8538531129204704,0.8538531129204704,0.7606397135188112,0.7786418389581254
light,512,5,4,WeightedEnsemble_L3,0.8054938728513859,0.8054938728513859,0.7376126145618033,0.7055936482589845
light,512,5,5,WeightedEnsemble_L3,0.7635496340159553,0.7635496340159552,0.6902025277069817,0.642922434584652
