0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
iot_noise_accuracy,iot_noise_support,light-2_accuracy,light-2_support,light-1_accuracy,light-1_support,plug-7_accuracy,plug-7_support,plug-6_accuracy,plug-6_support,cam-5_accuracy,cam-5_support,network_noise_accuracy,network_noise_support,cam-1_accuracy,cam-1_support,cam-6_accuracy,cam-6_support,cam-8_accuracy,cam-8_support,plug-1_accuracy,plug-1_support,cam-4_accuracy,cam-4_support,cam-3_accuracy,cam-3_support,light-3_accuracy,light-3_support,plug-3_accuracy,plug-3_support,cam-2_accuracy,cam-2_support,plug-4_accuracy,plug-4_support,cam-7_accuracy,cam-7_support,plug-5_accuracy,plug-5_support,light-7_accuracy,light-7_support,plug-2_accuracy,plug-2_support,plug-8_accuracy,plug-8_support,light-4_accuracy,light-4_support,light-8_accuracy,light-8_support,light-6_accuracy,light-6_support,light-5_accuracy,light-5_support,accuracy,accuracy classification report
0.9791026371593786,0,0.9883259575766824,13106,0.9904390393146704,13074,0.9966338361800274,24063,0.9912035862302292,11823,0.0,0.0,0.9699758050202247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9918519646664636,13132,0.0,0.0,0.0,0.0,0.9809066967644846,21264,0.9927012421924346,14249,0.0,0.0,0.9936341934750483,17594,0.0,0.0,0.9934255838707657,15971,0.8140495867768595,242,0.9920190883659701,12154,0.9919188718111235,12622,0.7857142857142857,238,0.7692307692307693,234,0.8140495867768595,242,0.7456896551724138,232,0.9849762253963212,0.9849762253963212
