0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
cam,256,4,2,WeightedEnsemble_L3,0.33285778529005844,0.33285778529005844,0.33289323070692345,0.23756707309828712
cam,256,4,3,WeightedEnsemble_L3,0.32904306294291874,0.32904306294291874,0.3290604488834407,0.23322121046884015
cam,256,4,4,WeightedEnsemble_L3,0.32190984229379566,0.32190984229379566,0.3219925525816999,0.22505692565388596
cam,256,5,2,WeightedEnsemble_L3,0.3334470513436817,0.3334470513436817,0.3334715249924396,0.23822209668248864
cam,256,5,3,WeightedEnsemble_L3,0.3334160373408594,0.3334160373408594,0.3333977393532196,0.23820473946636245
cam,256,5,4,WeightedEnsemble_L3,0.3228092483756416,0.3228092483756416,0.3228301560379138,0.22607217144901656
cam,256,5,5,WeightedEnsemble_L3,0.3090390311225518,0.3090390311225518,0.30912768954288655,0.210337622359867
cam,256,6,2,WeightedEnsemble_L3,0.3338347263789601,0.3338347263789601,0.33378274270878683,0.23869959679965477
cam,256,6,3,WeightedEnsemble_L2,0.12484686836106502,0.12484686836106502,0.12357805639171857,-0.0023253312126449107
cam,256,6,4,WeightedEnsemble_L2,0.12602540046831145,0.12602540046831145,0.12467088325804539,-0.0006619547046537378
cam,256,6,5,WeightedEnsemble_L2,0.12627351249088964,0.12627351249088964,0.12495622159757946,-7.646464613479876e-05
