0,1,2,3,4,5,6,7,8
Device,Accum,Window,Combo,Model Name,f1_micro,accuracy,balanced_accuracy,mcc
light,256,6,2,WeightedEnsemble_L3,0.8617484990541986,0.8617484990541986,0.7092788000225234,0.791308776938961
light,256,6,3,WeightedEnsemble_L3,0.7688954683773336,0.7688954683773337,0.6672997966549234,0.648625606089982
light,256,6,4,WeightedEnsemble_L3,0.7145324451023933,0.7145324451023933,0.6721674087089089,0.5648563940182476
light,256,6,5,WeightedEnsemble_L3,0.7088576363187762,0.7088576363187762,0.6837913748737567,0.5586266138517093
light,256,6,6,WeightedEnsemble_L3,0.6837733366230776,0.6837733366230776,0.6036835788173714,0.5163563687715703
